# video02 待标注队列，由 python -m src.select_frames 生成
# 共 50 帧（候选 104），按选取顺序排列；hint_axis_deg 是掩膜 PCA 主轴，仅作粗初值，不可当结果
k,frame,t,cx,cy,w,h,conf,hint_axis_deg,psi_vel_deg,speed_blps,prio,img
62,141,2.9772,584.91,456.39,217.00,177.00,0.3860,31.29,94.94,1.010,0,crops/video02/00062.jpg
38,90,1.8247,758.44,309.83,178.00,221.00,0.3603,122.08,174.57,1.257,1,crops/video02/00038.jpg
75,172,3.6014,637.99,579.75,226.00,131.00,0.3691,165.99,39.72,0.974,2,crops/video02/00075.jpg
51,115,2.4490,641.69,353.66,124.00,231.00,0.3672,78.77,141.50,1.158,3,crops/video02/00051.jpg
106,246,5.0900,904.24,500.81,183.00,216.00,0.3480,55.30,286.21,1.014,4,crops/video02/00106.jpg
19,46,0.9124,1072.96,374.38,249.00,117.00,0.3535,8.75,201.94,1.870,5,crops/video02/00019.jpg
93,215,4.4657,819.95,596.14,130.00,233.00,0.3411,101.38,334.08,0.968,6,crops/video02/00093.jpg
82,189,3.9375,705.52,610.46,211.00,189.00,0.3737,142.05,12.05,1.044,7,crops/video02/00082.jpg
30,71,1.4406,875.52,316.78,231.00,161.00,0.3442,154.87,189.38,1.563,8,crops/video02/00030.jpg
10,23,0.4802,1252.87,457.88,221.00,156.00,0.3429,23.50,209.83,1.605,9,crops/video02/00010.jpg
135,316,6.4825,776.21,121.06,170.00,142.00,0.3462,44.85,233.63,1.046,10,crops/video02/00135.jpg
66,150,3.1692,588.53,499.17,228.00,140.00,0.3643,17.05,74.85,1.037,11,crops/video02/00066.jpg
24,57,1.1524,981.86,340.87,246.00,109.00,0.3582,174.81,197.21,1.768,12,crops/video02/00024.jpg
54,122,2.5930,617.30,378.09,160.00,225.00,0.3678,64.47,130.80,1.053,13,crops/video02/00054.jpg
70,160,3.3613,605.20,539.30,226.00,98.00,0.3584,2.83,60.99,1.004,14,crops/video02/00070.jpg
97,225,4.6578,853.54,574.11,111.00,229.00,0.3367,86.76,320.16,0.934,15,crops/video02/00097.jpg
86,198,4.1296,749.04,614.55,189.00,214.00,0.3494,127.90,358.50,1.000,16,crops/video02/00086.jpg
58,131,2.7851,594.09,414.63,194.00,206.00,0.3778,47.27,112.29,1.008,17,crops/video02/00058.jpg
42,100,2.0168,706.95,320.62,134.00,232.00,0.3799,105.90,163.09,1.211,18,crops/video02/00042.jpg
101,234,4.8499,880.92,546.25,146.00,228.00,0.3369,72.65,308.10,0.932,19,crops/video02/00101.jpg
47,108,2.2569,672.32,334.22,94.00,229.00,0.3753,91.73,153.78,0.527,20,crops/video02/00047.jpg
35,83,1.6807,797.19,311.01,204.00,205.00,0.3407,134.29,181.24,1.330,21,crops/video02/00035.jpg
90,208,4.3217,790.53,607.44,156.00,228.00,0.3391,113.18,342.53,1.002,22,crops/video02/00090.jpg
79,182,3.7935,674.11,600.93,220.00,165.00,0.3789,152.77,22.21,1.024,23,crops/video02/00079.jpg
27,64,1.2965,927.33,326.20,243.00,132.00,0.3375,165.08,192.97,1.748,24,crops/video02/00027.jpg
118,275,5.6662,903.49,353.75,216.00,193.00,0.3353,38.59,253.73,1.304,25,crops/video02/00118.jpg
32,76,1.5366,844.16,311.99,224.00,179.00,0.3470,146.50,185.25,1.512,26,crops/video02/00032.jpg
56,127,2.6890,604.27,395.47,178.00,217.00,0.3842,55.75,122.21,1.024,27,crops/video02/00056.jpg
15,36,0.7203,1151.76,408.47,247.00,139.00,0.3472,15.93,204.25,2.141,28,crops/video02/00015.jpg
60,136,2.8811,587.94,434.91,207.00,193.00,0.3748,39.50,102.18,1.013,29,crops/video02/00060.jpg
109,254,5.2340,910.74,468.02,201.00,206.00,0.3355,48.23,278.06,1.099,30,crops/video02/00109.jpg
40,95,1.9207,731.51,314.74,158.00,228.00,0.3637,113.23,168.14,1.245,31,crops/video02/00040.jpg
95,220,4.5618,837.48,585.93,113.00,231.00,0.3387,94.17,326.67,0.950,32,crops/video02/00095.jpg
104,242,4.9939,896.81,520.46,170.00,221.00,0.3365,62.45,294.99,0.968,33,crops/video02/00104.jpg
68,155,3.2653,595.74,519.90,229.00,119.00,0.3579,10.08,67.16,1.027,34,crops/video02/00068.jpg
64,146,3.0732,584.52,477.66,224.00,159.00,0.3737,23.78,85.51,1.012,35,crops/video02/00064.jpg
73,167,3.5054,622.93,565.12,227.00,113.00,0.3610,172.63,48.95,0.981,36,crops/video02/00073.jpg
