# video15 待标注队列，由 python -m src.select_frames 生成
# 共 35 帧（候选 42），按选取顺序排列；hint_axis_deg 是掩膜 PCA 主轴，仅作粗初值，不可当结果
# 采样准则：最远点采样保证朝向多样性，再补帧保证相邻间隔 ≤ 18 帧（插值上限 24 的 75%）。**补进来的帧排在队列末尾（prio 最大），但必须标** —— 跳过就留空洞
# 质量门槛：置信度 > 25 分位、框长边 ≥ 3% 工作图宽、宽高比 ≤ 3.0（超过就是运动月牙带而不是车）、越界幅度 ≤ 10% 框长边、位置未判离群
k,frame,t,cx,cy,w,h,conf,hint_axis_deg,psi_vel_deg,speed_blps,prio,img
63,65,2.5971,891.54,90.88,159.00,106.00,0.2454,156.93,211.38,0.470,0,crops/video15/00063.jpg
39,39,1.6078,924.96,204.81,104.00,171.00,0.1863,82.91,272.82,0.857,1,crops/video15/00039.jpg
24,24,0.9894,897.16,282.15,136.00,191.00,0.2082,122.48,322.44,0.719,2,crops/video15/00024.jpg
31,31,1.2780,917.24,256.11,108.00,182.00,0.2111,102.35,295.46,0.635,3,crops/video15/00031.jpg
14,14,0.5771,560.36,232.56,238.00,195.00,0.2201,147.75,12.65,16.925,4,crops/video15/00014.jpg
18,18,0.7420,860.30,298.86,192.00,191.00,0.1994,137.08,303.70,0.879,5,crops/video15/00018.jpg
27,27,1.1131,908.21,271.62,121.00,188.00,0.2071,112.71,308.04,0.616,6,crops/video15/00027.jpg
35,35,1.4429,923.40,235.21,98.00,169.00,0.2100,93.19,276.57,0.940,7,crops/video15/00035.jpg
69,71,2.8445,864.20,81.90,193.00,108.00,0.2216,163.73,190.20,1.100,8,crops/video15/00069.jpg
22,22,0.9069,887.26,288.77,152.00,189.00,0.2037,129.27,330.67,0.814,9,crops/video15/00022.jpg
15,15,0.6184,711.71,304.10,238.00,162.00,0.2174,148.47,12.23,14.737,10,crops/video15/00015.jpg
29,29,1.1955,913.04,263.70,115.00,187.00,0.2111,106.97,300.90,0.594,11,crops/video15/00029.jpg
74,76,3.0506,820.56,81.57,184.00,99.00,0.1950,154.91,169.97,1.008,12,crops/video15/00074.jpg
38,38,1.5665,925.72,211.59,95.00,178.00,0.1883,87.20,272.12,0.996,13,crops/video15/00038.jpg
33,33,1.3604,920.87,246.71,103.00,175.00,0.2134,98.19,287.28,0.686,14,crops/video15/00033.jpg
60,61,2.4735,902.06,98.53,144.00,119.00,0.2419,153.29,224.18,0.588,15,crops/video15/00060.jpg
26,26,1.0718,904.51,275.32,127.00,190.00,0.2091,116.35,313.79,0.632,16,crops/video15/00026.jpg
65,67,2.6796,885.38,87.94,170.00,107.00,0.2410,160.56,203.16,0.515,17,crops/video15/00065.jpg
25,25,1.0306,901.14,279.10,130.00,190.00,0.2078,119.57,319.41,0.678,18,crops/video15/00025.jpg
20,20,0.8245,875.01,294.24,172.00,197.00,0.2028,134.45,338.82,0.946,19,crops/video15/00020.jpg
23,23,0.9482,892.10,285.26,143.00,191.00,0.2059,126.53,327.20,0.751,20,crops/video15/00023.jpg
21,21,0.8657,881.94,291.34,162.00,193.00,0.2010,131.71,334.12,0.876,21,crops/video15/00021.jpg
70,72,2.8857,853.19,79.34,198.00,97.00,0.2247,156.88,186.38,1.180,22,crops/video15/00070.jpg
16,16,0.6596,845.27,302.72,215.00,191.00,0.2023,139.29,10.85,10.366,23,crops/video15/00016.jpg
37,37,1.5253,924.01,217.50,104.00,183.00,0.1921,84.85,273.05,1.044,24,crops/video15/00037.jpg
28,28,1.1543,910.24,268.71,118.00,197.00,0.2077,110.77,304.61,0.587,25,crops/video15/00028.jpg
61,62,2.5147,898.24,95.79,150.00,114.00,0.2428,155.14,218.83,0.566,26,crops/video15/00061.jpg
30,30,1.2367,915.05,260.82,111.00,200.00,0.2113,105.37,298.18,0.626,27,crops/video15/00030.jpg
64,66,2.6384,888.67,89.45,165.00,107.00,0.2434,158.50,208.04,0.445,28,crops/video15/00064.jpg
34,34,1.4016,922.42,241.29,100.00,173.00,0.2128,94.66,280.40,0.765,29,crops/video15/00034.jpg
36,36,1.4841,924.11,229.03,97.00,168.00,0.2118,91.71,275.23,1.028,30,crops/video15/00036.jpg
32,32,1.3192,919.71,251.23,105.00,178.00,0.2135,99.64,291.02,0.669,31,crops/video15/00032.jpg
67,69,2.7620,876.15,84.49,181.00,107.00,0.2319,161.74,196.81,0.743,32,crops/video15/00067.jpg
19,19,0.7833,868.49,297.04,181.00,194.00,0.2004,135.84,298.65,0.355,33,crops/video15/00019.jpg
71,73,2.9269,844.60,79.24,204.00,97.00,0.2228,155.64,182.12,1.188,34,crops/video15/00071.jpg
