# video03 人工标注的车身轴（mod 180 度），由 python -m src.annotate 生成
# axis_deg 是唯一被下游读取的字段；x1..y2 是工作图坐标下的原始点选，供复核
# src: manual=人工点选 / hint=人工确认了 PCA 提示轴
k,axis_deg,x1,y1,x2,y2,src,ts
0,85.157,303.67,79.29,313.64,197.02,manual,2026-09-23T13:27:43.653Z
1,84.473,300.17,78.30,312.14,202.02,manual,2026-09-25T08:03:21.406Z
4,77.561,433.84,274.86,402.92,134.67,manual,2026-09-23T13:08:20.195Z
7,79.372,277.71,81.29,306.64,235.47,manual,2026-09-25T07:53:50.196Z
8,79.464,276.96,82.79,304.89,232.98,manual,2026-09-25T07:56:10.969Z
11,76.156,264.23,84.30,308.62,264.44,manual,2026-09-23T13:09:02.467Z
13,75.478,260.49,82.54,302.88,246.21,manual,2026-09-23T13:27:12.337Z
14,71.266,479.21,78.31,526.59,218.05,manual,2026-09-25T08:03:13.786Z
17,68.630,522.93,223.33,471.02,90.67,manual,2026-09-23T13:07:12.316Z
18,71.717,230.63,80.75,291.62,265.35,manual,2026-09-25T07:55:15.506Z
20,67.919,455.04,76.95,516.71,228.98,manual,2026-09-25T07:55:28.366Z
23,67.252,230.69,148.08,303.10,320.77,manual,2026-09-23T13:09:45.816Z
29,64.364,186.78,108.08,294.10,331.70,manual,2026-09-25T08:02:57.982Z
33,59.305,506.00,273.32,392.21,81.64,manual,2026-09-25T07:51:33.689Z
40,55.084,502.41,293.02,358.67,87.10,manual,2026-09-23T13:06:51.433Z
48,53.341,59.39,104.66,301.38,429.80,manual,2026-09-23T13:28:18.730Z
53,47.601,272.79,90.05,501.14,340.13,manual,2026-09-25T07:55:52.851Z
58,45.752,236.70,87.25,499.15,356.69,manual,2026-09-23T13:09:27.836Z
65,42.541,194.95,95.31,457.47,336.21,manual,2026-09-23T13:29:30.646Z
69,39.272,271.17,203.94,460.18,358.49,manual,2026-09-23T13:08:31.326Z
74,36.821,510.17,416.03,167.58,159.55,manual,2026-09-25T07:53:37.894Z
77,35.288,186.13,192.43,514.86,425.08,manual,2026-09-25T07:57:03.789Z
80,33.974,174.92,207.23,468.93,405.35,manual,2026-09-23T13:09:19.063Z
83,31.941,154.37,221.20,522.26,450.56,manual,2026-09-25T08:02:40.630Z
86,30.175,262.35,305.88,475.84,430.01,manual,2026-09-23T13:27:53.337Z
93,26.671,274.78,356.12,482.62,460.52,manual,2026-09-23T13:07:46.312Z
98,24.985,204.50,344.51,550.28,505.64,manual,2026-09-23T13:29:37.939Z
103,22.686,196.06,373.24,503.63,501.81,manual,2026-09-23T13:09:35.325Z
109,19.400,200.90,406.18,578.22,539.05,manual,2026-09-23T13:28:06.810Z
115,17.021,305.55,476.55,528.58,544.83,manual,2026-09-23T13:08:38.775Z
119,15.152,213.37,467.83,605.14,573.92,manual,2026-09-25T07:56:18.538Z
122,13.796,255.68,493.21,612.90,580.92,manual,2026-09-23T13:28:00.840Z
129,10.317,346.48,547.43,570.84,588.28,manual,2026-09-23T13:09:10.697Z
132,10.024,261.90,542.52,652.34,611.53,manual,2026-09-25T08:02:49.194Z
136,7.957,377.64,582.15,598.02,612.96,manual,2026-09-23T13:27:19.770Z
141,6.580,290.17,588.28,686.73,634.02,manual,2026-09-25T07:56:25.537Z
144,4.920,415.80,615.90,618.12,633.32,manual,2026-09-23T13:07:22.618Z
148,1.734,424.90,635.71,651.90,642.58,manual,2026-09-25T07:54:52.580Z
152,2.250,444.05,650.75,671.02,659.67,manual,2026-09-23T13:09:54.103Z
160,1.510,411.06,675.43,778.20,685.10,manual,2026-09-25T07:51:43.496Z
164,0.143,417.53,691.55,801.39,692.51,manual,2026-09-25T08:03:06.621Z
168,177.562,536.44,706.17,736.84,697.64,manual,2026-09-23T13:27:27.796Z
177,176.383,508.83,735.57,788.53,717.88,manual,2026-09-25T07:54:31.542Z
183,176.809,552.43,754.02,916.22,733.74,manual,2026-09-25T07:56:40.811Z
190,172.989,677.81,770.55,870.21,746.89,manual,2026-09-23T13:08:47.068Z
