# video09 人工标注的车身轴（mod 180 度）
# axis_deg 是唯一被下游读取的字段；x1..y2 是工作图坐标下的原始点选，供复核
# src: manual=人工点选 / hint=人工确认了 PCA 提示轴
k,axis_deg,x1,y1,x2,y2,src,ts
1,27.219,238.76,41.36,408.29,128.55,manual,2026-09-23T11:41:01.171Z
2,24.763,428.67,156.65,248.75,73.66,manual,2026-09-23T11:38:06.448Z
3,23.990,432.17,164.03,258.59,86.78,manual,2026-09-23T11:39:01.393Z
4,22.277,264.13,101.44,439.65,173.35,manual,2026-09-23T11:40:33.771Z
5,20.132,449.95,185.07,269.40,118.88,manual,2026-09-23T11:37:28.351Z
6,19.225,457.70,197.87,278.66,135.44,manual,2026-09-23T11:39:16.921Z
7,16.771,465.90,206.43,284.04,151.62,manual,2026-09-23T11:39:42.593Z
8,16.066,292.11,165.88,473.27,218.06,manual,2026-09-23T11:40:27.620Z
9,14.998,484.68,229.37,299.86,179.86,manual,2026-09-23T11:38:14.532Z
10,12.529,308.86,197.72,494.17,238.90,manual,2026-09-23T11:39:59.234Z
11,11.720,503.66,251.44,316.28,212.57,manual,2026-09-23T11:42:15.137Z
15,5.318,367.78,282.02,555.15,299.47,manual,2026-09-23T11:39:09.265Z
17,2.885,578.65,317.48,390.77,308.01,manual,2026-09-23T11:37:40.295Z
18,1.067,399.53,324.99,586.91,328.48,manual,2026-09-23T11:39:33.028Z
23,174.244,660.16,375.00,472.28,393.94,manual,2026-09-23T11:38:28.699Z
24,174.516,484.77,401.44,671.67,383.50,manual,2026-09-23T11:40:53.091Z
25,171.763,498.26,415.40,684.18,388.49,manual,2026-09-23T11:40:20.171Z
26,170.640,697.18,393.48,512.75,423.88,manual,2026-09-23T11:41:24.038Z
27,168.339,525.75,440.33,711.67,401.96,manual,2026-09-23T11:39:49.779Z
28,167.752,539.23,449.30,725.19,408.93,manual,2026-09-23T11:38:39.879Z
