k,frame,t,cx,cy,vx,vy,speed_px_s,speed_bl_per_s,psi_vel_deg,axis_deg,psi_body_deg,beta_deg
0,0,0.0000,,,,,,,,,,
1,1,0.0412,815.5276,92.4846,-1528.4451,1255.9857,1978.2934,10.6935,140.5887,178.5182,178.5182,37.9296
2,2,0.0824,752.5182,144.2620,-1735.2255,1221.4065,2121.9900,11.4702,144.8587,7.9706,187.9706,43.1119
3,3,0.1237,672.4600,193.1883,-2148.7864,1152.2482,2438.2286,13.1796,151.7984,175.9244,175.9244,24.1260
4,4,0.1649,575.3529,239.2636,-2697.7288,1346.7242,3015.1960,16.2984,153.4713,142.1345,142.1345,-11.3368
5,5,0.2061,450.0350,304.2243,-3148.6475,1232.7057,3381.3525,18.2776,158.6195,151.5738,151.5738,-7.0457
6,6,0.2473,315.7502,340.8990,-3068.9577,285.3908,3082.1988,16.6605,174.6872,148.1245,148.1245,-26.5627
7,7,0.2886,197.0026,327.7545,-2416.7240,-847.7158,2561.0890,13.8437,199.3294,144.6752,144.6752,-54.6542
8,8,0.3298,116.4937,271.0057,-1312.6662,-1526.1319,2013.0005,10.8811,229.3003,151.9565,151.9565,-77.3438
9,9,0.3710,88.7746,201.9265,11.5794,-1657.7168,1657.7573,8.9609,270.4002,146.9185,326.9185,56.5183
10,10,0.4122,117.4484,134.3286,1266.4890,-1290.6792,1808.2719,9.7744,314.4580,152.2290,332.2290,17.7710
11,11,0.4535,193.1953,95.5113,2205.6333,-373.6607,2237.0607,12.0922,350.3847,161.6980,341.6980,-8.6867
12,12,0.4947,299.3007,103.5207,2831.0627,746.5653,2927.8449,15.8262,14.7729,164.3572,344.3572,-30.4156
13,13,0.5359,426.6135,157.0649,3381.7455,1448.7937,3679.0224,19.8866,23.1911,149.7201,329.7201,-53.4709
14,14,0.5771,578.1221,222.9722,3463.9569,1476.1971,3765.3891,20.3535,23.0817,147.7545,327.7545,-55.3272
15,15,0.6184,712.2133,278.7758,2785.9752,1036.5098,2972.5428,16.0678,20.4075,148.4660,328.4660,-51.9415
16,16,0.6596,807.8229,308.4314,1801.2060,353.3790,1835.5434,9.9219,11.0999,139.2935,319.2935,-51.8064
17,17,0.7008,860.7208,307.9116,786.0954,-113.7335,794.2803,4.2934,351.7675,138.4514,318.4514,-33.3161
18,18,0.7420,872.6357,299.0542,90.2544,-135.3071,162.6464,0.8792,303.7046,137.0839,317.0839,13.3793
